LC81510322015110LGN00,2015-04-20 05:45:56.363738,66.48,L1T,151,32,39.22435,71.96272,41.37555,74.77861,https://s3-us-west-2.amazonaws.com/landsat-pds/L8/151/032/LC81510322015110LGN00/index.html
LC80050512015111LGN00,2015-04-21 14:51:10.598322,26.01,L1T,5,51,11.95232,-69.04631,14.05943,-66.9605,https://s3-us-west-2.amazonaws.com/landsat-pds/L8/005/051/LC80050512015111LGN00/index.html
LC81420072015111LGN00,2015-04-21 04:40:21.768344,2.19,L1T,142,7,73.39084,109.16522,75.81017,118.81936,https://s3-us-west-2.amazonaws.com/landsat-pds/L8/142/007/LC81420072015111LGN00/index.html
LC81740132015111LGN00,2015-04-21 08:00:31.024365,66.46,L1T,174,13,65.7498,49.462,68.0685,55.08252,https://s3-us-west-2.amazonaws.com/landsat-pds/L8/174/013/LC81740132015111LGN00/index.html
LC80920682015112LGN00,2015-04-22 23:55:37.341455,30.67,L1T,92,68,-12.62144,151.26092,-10.51705,153.36002,https://s3-us-west-2.amazonaws.com/landsat-pds/L8/092/068/LC80920682015112LGN00/index.html
LC81670792015110LGN00,2015-04-20 07:43:33.291872,45.51,L1T,167,79,-28.48419,31.58207,-26.37353,33.93889,https://s3-us-west-2.amazonaws.com/landsat-pds/L8/167/079/LC81670792015110LGN00/index.html
LC81120362015109LGN00,2015-04-19 01:46:30.429751,81.2,L1GT,112,36,33.52934,130.68861,35.67155,133.12551,https://s3-us-west-2.amazonaws.com/landsat-pds/L8/112/036/LC81120362015109LGN00/index.html
LC80710152015109LGN00,2015-04-19 21:24:45.436674,64.98,L1T,71,15,63.05489,-153.6037,65.34554,-148.69359,https://s3-us-west-2.amazonaws.com/landsat-pds/L8/071/015/LC80710152015109LGN00/index.html
LC80120552015112LGN00,2015-04-22 15:36:01.433047,52.18,L1T,12,55,6.17367,-81.09716,8.28042,-79.04437,https://s3-us-west-2.amazonaws.com/landsat-pds/L8/012/055/LC80120552015112LGN00/index.html
LC81740182015111LGN00,2015-04-21 08:02:30.383267,80.19,L1T,174,18,58.94889,44.48842,61.19397,48.71532,https://s3-us-west-2.amazonaws.com/landsat-pds/L8/174/018/LC81740182015111LGN00/index.html
LC80870652015109LGN00,2015-04-19 23:23:32.983100,75.66,L1GT,87,65,-8.29288,159.94182,-6.18186,162.02075,https://s3-us-west-2.amazonaws.com/landsat-pds/L8/087/065/LC80870652015109LGN00/index.html
LC81810132015112LGN00,2015-04-22 08:43:46.228814,76.19,L1GT,181,13,65.74042,38.72875,68.08082,44.18929,https://s3-us-west-2.amazonaws.com/landsat-pds/L8/181/013/LC81810132015112LGN00/index.html
LC81650422015112LGN00,2015-04-22 07:16:25.758824,0.0,L1T,165,42,24.92096,46.64736,27.04747,48.88223,https://s3-us-west-2.amazonaws.com/landsat-pds/L8/165/042/LC81650422015112LGN00/index.html
LC81990522015110LGN00,2015-04-20 10:50:33.313322,2.43,L1T,199,52,10.50745,-9.09852,12.61624,-7.02269,https://s3-us-west-2.amazonaws.com/landsat-pds/L8/199/052/LC81990522015110LGN00/index.html
LC80480702015108LGN00,2015-04-18 19:24:31.349148,8.59,L1GT,48,70,-15.51565,-141.39908,-13.40538,-139.26222,https://s3-us-west-2.amazonaws.com/landsat-pds/L8/048/070/LC80480702015108LGN00/index.html
LC80480022015108LGN00,2015-04-18 18:57:26.412230,15.87,L1T,48,2,78.73452,-84.97262,81.11142,-70.47905,https://s3-us-west-2.amazonaws.com/landsat-pds/L8/048/002/LC80480022015108LGN00/index.html
